year,ICEV frontB disc%,ICEV frontB drum%,ICEV rearB disc%,ICEV rearB drum%,EV frontB disc%,EV frontB drum%,EV rearB disc%,EV rearB drum%
2016,1.0,0.0,0.6601124187086591,0.33988758129134095,1.0,0.0,0.8270820089001907,0.1729179910998093
2017,1.0,0.0,0.6802042906193259,0.31979570938067414,1.0,0.0,0.6809779367918902,0.3190220632081097
2018,1.0,0.0,0.6980883470138668,0.3019116529861332,1.0,0.0,0.6822749625828523,0.31772503741714775
2019,1.0,0.0,0.7137314105328008,0.2862685894671993,1.0,0.0,0.7611305542019227,0.23886944579807734
2020,1.0,0.0,0.7309969731655364,0.2690030268344637,1.0,0.0,0.7859783069744894,0.21402169302551052
2021,1.0,0.0,0.7486639944700891,0.2513360055299108,1.0,0.0,0.7669685493166475,0.23303145068335254
2022,1.0,0.0,0.765965402181887,0.23403459781811298,1.0,0.0,0.7900981519438751,0.2099018480561249
2023,1.0,0.0,0.7828835760873116,0.21711642391268843,1.0,0.0,0.8299472968378103,0.17005270316218973
2024,1.0,0.0,0.8022428188625195,0.19775718113748056,1.0,0.0,0.8617544512775721,0.13824554872242786
